        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Memory Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDC Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 16-Pin Power [W] , 16-Pin Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2026-02-12 18:10:16 ,         210.0   ,             50.6   ,               28.7   ,        36.5   ,                  30.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,         10   ,                        9   ,                   0   ,                    2   ,                7.0   ,                   1.3   ,                4.3   ,                  5.7   ,              12.3   ,               1.3   ,                12.1   ,            5.6   ,             12.3   ,                         1.5   ,              16   ,        0.8850   ,               33.0   ,                 10017   ,
2026-02-12 18:10:17 ,         210.0   ,             50.6   ,               28.7   ,        36.5   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            878   ,         22   ,                       13   ,                   0   ,                    2   ,                8.5   ,                   1.7   ,                5.4   ,                  6.8   ,              12.3   ,               1.3   ,                12.1   ,            7.2   ,             12.3   ,                         1.9   ,              16   ,        0.8850   ,               32.0   ,                 10032   ,
2026-02-12 18:10:18 ,         210.0   ,             50.6   ,               28.6   ,        36.4   ,                  30.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            873   ,         10   ,                        3   ,                   0   ,                    2   ,                6.7   ,                   1.4   ,                4.1   ,                  5.4   ,              12.3   ,               1.3   ,                12.1   ,            5.4   ,             12.4   ,                         1.5   ,              16   ,        0.8850   ,               32.0   ,                 10024   ,
2026-02-12 18:10:19 ,         210.0   ,             50.6   ,               28.7   ,        36.5   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            877   ,         23   ,                       12   ,                   0   ,                    2   ,                9.8   ,                   1.7   ,                6.8   ,                  8.1   ,              12.3   ,               1.3   ,                12.1   ,            8.5   ,             12.3   ,                         2.2   ,              16   ,        0.8850   ,               29.0   ,                 10025   ,
2026-02-12 18:10:20 ,         210.0   ,             50.6   ,               28.6   ,        36.5   ,                  30.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,         12   ,                        4   ,                   0   ,                    2   ,                7.1   ,                   1.2   ,                4.6   ,                  5.9   ,              12.3   ,               1.3   ,                12.1   ,            5.8   ,             12.4   ,                         1.6   ,              16   ,        0.8850   ,               34.0   ,                 10141   ,
2026-02-12 18:10:21 ,         210.0   ,             50.6   ,               28.6   ,        36.5   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,         10   ,                        3   ,                   0   ,                    1   ,                7.0   ,                   1.7   ,                4.0   ,                  5.4   ,              12.3   ,               1.4   ,                12.1   ,            5.7   ,             12.4   ,                         1.6   ,              16   ,        0.8850   ,               38.0   ,                 10141   ,
2026-02-12 18:10:22 ,        2520.0   ,           1312.7   ,               29.8   ,        37.0   ,                  30.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,          2   ,                        0   ,                   0   ,                    0   ,               49.0   ,                  20.0   ,               23.5   ,                 29.0   ,              12.3   ,               5.5   ,                12.1   ,           43.5   ,             12.3   ,                        10.9   ,              16   ,        0.9700   ,               36.0   ,                 10030   ,
2026-02-12 18:10:23 ,        2520.0   ,           1312.7   ,               30.0   ,        37.3   ,                  30.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,          2   ,                        0   ,                   0   ,                    0   ,               48.8   ,                  19.8   ,               23.5   ,                 29.0   ,              12.3   ,               5.5   ,                12.1   ,           43.3   ,             12.3   ,                        10.8   ,              16   ,        0.9700   ,               35.0   ,                 10158   ,
2026-02-12 18:10:24 ,        2520.0   ,           1312.7   ,               30.1   ,        37.4   ,                  30.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,          2   ,                        0   ,                   0   ,                    0   ,               48.6   ,                  19.7   ,               23.4   ,                 28.8   ,              12.3   ,               5.5   ,                12.1   ,           43.1   ,             12.3   ,                        10.8   ,              16   ,        0.9700   ,               29.0   ,                 10043   ,
2026-02-12 18:10:25 ,        2520.0   ,           1312.7   ,               30.3   ,        37.4   ,                  32.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,          2   ,                        0   ,                   0   ,                    0   ,               48.7   ,                  19.8   ,               23.5   ,                 29.0   ,              12.3   ,               5.5   ,                12.1   ,           43.3   ,             12.3   ,                        10.8   ,              16   ,        0.9700   ,               32.0   ,                 10062   ,
2026-02-12 18:10:26 ,        2520.0   ,           1312.7   ,               30.3   ,        37.5   ,                  32.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,          2   ,                        0   ,                   0   ,                    0   ,               48.9   ,                  20.0   ,               23.4   ,                 28.9   ,              12.2   ,               5.5   ,                12.1   ,           43.4   ,             12.3   ,                        10.9   ,              16   ,        0.9700   ,               30.0   ,                 10067   ,
2026-02-12 18:10:27 ,        2520.0   ,           1312.7   ,               30.4   ,        37.7   ,                  32.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,          2   ,                        0   ,                   0   ,                    0   ,               48.6   ,                  19.8   ,               23.3   ,                 28.8   ,              12.2   ,               5.5   ,                12.1   ,           43.2   ,             12.3   ,                        10.8   ,              16   ,        0.9700   ,               29.0   ,                 10037   ,
2026-02-12 18:10:28 ,         480.0   ,            101.3   ,               29.5   ,        37.2   ,                  30.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,          4   ,                        3   ,                   0   ,                    1   ,               17.2   ,                   4.9   ,               10.2   ,                 12.3   ,              12.3   ,               2.1   ,                12.1   ,           15.1   ,             12.3   ,                         3.8   ,              16   ,        0.9000   ,               29.0   ,                 10042   ,
2026-02-12 18:10:29 ,         300.0   ,             50.6   ,               29.1   ,        37.0   ,                  30.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,          7   ,                       12   ,                   0   ,                    2   ,                6.7   ,                   1.7   ,                3.6   ,                  5.0   ,              12.3   ,               1.3   ,                12.1   ,            5.4   ,             12.3   ,                         1.5   ,              16   ,        0.8850   ,               29.0   ,                 10045   ,
2026-02-12 18:10:30 ,         210.0   ,             50.6   ,               29.1   ,        36.9   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,          9   ,                        9   ,                   0   ,                    2   ,                7.2   ,                   1.5   ,                4.3   ,                  5.7   ,              12.3   ,               1.3   ,                12.1   ,            5.8   ,             12.3   ,                         1.6   ,              16   ,        0.8850   ,               30.0   ,                 10059   ,
2026-02-12 18:10:31 ,         210.0   ,             50.6   ,               29.0   ,        36.8   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,         10   ,                        9   ,                   0   ,                    2   ,                7.4   ,                   1.5   ,                4.5   ,                  5.9   ,              12.3   ,               1.4   ,                12.1   ,            6.0   ,             12.3   ,                         1.6   ,              16   ,        0.8850   ,               38.0   ,                 10053   ,
2026-02-12 18:10:32 ,         210.0   ,             50.6   ,               29.1   ,        36.9   ,                  30.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,          8   ,                        4   ,                   0   ,                    2   ,                7.8   ,                   1.5   ,                4.9   ,                  6.3   ,              12.3   ,               1.4   ,                12.1   ,            6.4   ,             12.3   ,                         1.7   ,              16   ,        0.8850   ,               40.0   ,                 10054   ,
2026-02-12 18:10:33 ,         210.0   ,             50.6   ,               29.0   ,        36.9   ,                  28.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            868   ,          8   ,                        4   ,                   0   ,                    2   ,                6.6   ,                   1.5   ,                3.8   ,                  5.1   ,              12.3   ,               1.3   ,                12.1   ,            5.3   ,             12.3   ,                         1.5   ,              16   ,        0.8850   ,               34.0   ,                 10048   ,
